idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,12.28,12.28,1,4,0,0,20
2,2.0,0,0,15.49,15.49,2,4,0,2,20
3,3.0,0,0,16.85,16.85,1,4,0,3,20
4,4.0,0,0,21.3,21.3,2,3,0,4,20
5,5.0,0,0,11.1,11.1,1,3,0,0,20
6,6.0,0,0,23.77,23.77,2,5,0,2,20
7,7.0,0,0,13.59,13.59,1,5,0,0,20
8,8.0,0,0,13.88,13.88,1,4,0,1,20
9,9.0,0,0,10.87,10.87,1,5,0,1,20
10,10.0,0,0,23.5,23.5,2,6,0,1,20
11,11.0,0,0,17.13,17.13,2,3,0,3,20
12,12.0,0,0,15.99,15.99,1,3,0,1,20
13,13.0,0,0,12.82,12.82,1,3,0,2,20
14,14.0,0,0,12.94,12.94,2,1,0,4,20
15,15.0,0,0,9.61,9.61,1,1,0,0,20
16,16.0,0,0,23.86,23.86,2,4,0,4,20
17,17.0,0,0,14.06,14.06,1,1,0,1,20
18,18.0,0,0,18.33,18.33,1,6,0,0,20
19,19.0,0,0,10.33,10.33,1,1,0,2,20
20,20.0,0,0,10.3,10.3,1,1,0,3,20
21,21.0,0,0,12.37,12.37,1,2,0,0,20
22,22.0,0,0,8.2,8.2,1,2,0,1,20
23,23.0,0,0,22.65,22.65,1,5,0,3,20
24,24.0,0,0,5.39,5.39,1,2,0,2,20
25,25.0,0,0,5.87,5.87,1,2,0,3,20
