idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,19.93,19.93,1,6,0,0,20
2,2.0,0,0,20.69,20.69,1,6,0,1,20
3,3.0,0,0,8.24,8.24,1,2,0,0,20
4,4.0,0,0,20.24,20.24,2,5,0,2,20
5,5.0,0,0,20.9,20.9,2,5,0,1,20
6,6.0,0,0,19.36,19.36,1,5,0,0,20
7,7.0,0,0,10.68,10.68,1,3,0,0,20
8,8.0,0,0,11.39,11.39,1,3,0,1,20
9,9.0,0,0,16.15,16.15,2,2,0,3,20
10,10.0,0,0,13.0,13.0,2,2,0,2,20
11,11.0,0,0,5.37,5.37,1,1,0,0,20
12,12.0,0,0,7.74,7.74,1,1,0,1,20
13,13.0,0,0,19.17,19.17,1,3,0,2,20
14,14.0,0,0,17.33,17.33,2,1,0,4,20
15,15.0,0,0,19.11,19.11,1,3,0,3,20
16,16.0,0,0,10.18,10.18,1,2,0,1,20
17,17.0,0,0,18.15,18.15,2,2,0,4,20
18,18.0,0,0,20.47,20.47,2,3,0,4,20
19,19.0,0,0,12.16,12.16,2,1,0,3,20
20,20.0,0,0,17.47,17.47,2,4,0,2,20
21,21.0,0,0,18.22,18.22,2,4,0,1,20
22,22.0,0,0,21.92,21.92,1,6,0,2,20
23,23.0,0,0,22.53,22.53,1,6,0,3,20
24,24.0,0,0,10.09,10.09,1,1,0,2,20
25,25.0,0,0,13.62,13.62,1,4,0,0,20
