idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,9.02,9.02,1,3,0,0,20
2,2.0,0,0,13.04,13.04,1,3,0,1,20
3,3.0,0,0,17.08,17.08,1,5,0,0,20
4,4.0,0,0,11.15,11.15,1,3,0,2,20
5,5.0,0,0,9.17,9.17,1,2,0,0,20
6,6.0,0,0,16.13,16.13,1,3,0,3,20
7,7.0,0,0,22.62,22.62,2,4,0,4,20
8,8.0,0,0,5.22,5.22,1,1,0,0,20
9,9.0,0,0,16.89,16.89,2,4,0,1,20
10,10.0,0,0,14.7,14.7,1,4,0,0,20
11,11.0,0,0,16.94,16.94,1,4,0,2,20
12,12.0,0,0,6.83,6.83,1,1,0,1,20
13,13.0,0,0,7.79,7.79,1,2,0,1,20
14,14.0,0,0,16.38,16.38,1,4,0,3,20
15,15.0,0,0,18.13,18.13,1,6,0,0,20
16,16.0,0,0,21.87,21.87,1,6,0,1,20
17,17.0,0,0,9.07,9.07,1,1,0,2,20
18,18.0,0,0,15.85,15.85,2,1,0,4,20
19,19.0,0,0,15.62,15.62,1,5,0,1,20
20,20.0,0,0,16.65,16.65,1,5,0,2,20
21,21.0,0,0,21.1,21.1,1,6,0,2,20
22,22.0,0,0,21.15,21.15,1,6,0,3,20
23,23.0,0,0,18.72,18.72,1,5,0,3,20
24,24.0,0,0,20.01,20.01,2,3,0,4,20
25,25.0,0,0,8.14,8.14,1,1,0,3,20
