idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,14.38,14.38,1,1,0,0,20
2,2.0,0,0,11.54,11.54,1,1,0,1,20
3,3.0,0,0,8.85,8.85,1,4,0,0,20
4,4.0,0,0,16.94,16.94,1,6,0,0,20
5,5.0,0,0,19.21,19.21,1,6,0,1,20
6,6.0,0,0,18.37,18.37,1,6,0,2,20
7,7.0,0,0,9.77,9.77,1,1,0,2,20
8,8.0,0,0,22.22,22.22,1,6,0,3,20
9,9.0,0,0,8.49,8.49,1,4,0,1,20
10,10.0,0,0,17.58,17.58,1,4,0,2,20
11,11.0,0,0,5.66,5.66,1,3,0,0,20
12,12.0,0,0,13.17,13.17,1,5,0,0,20
13,13.0,0,0,6.79,6.79,1,2,0,0,20
14,14.0,0,0,15.06,15.06,1,4,0,3,20
15,15.0,0,0,6.46,6.46,1,2,0,1,20
16,16.0,0,0,22.61,22.61,2,5,0,2,20
17,17.0,0,0,10.82,10.82,2,1,0,4,20
18,18.0,0,0,5.77,5.77,1,1,0,3,20
19,19.0,0,0,16.79,16.79,1,5,0,1,20
20,20.0,0,0,5.81,5.81,1,2,0,2,20
21,21.0,0,0,9.07,9.07,1,3,0,1,20
22,22.0,0,0,23.89,23.89,1,4,0,4,20
23,23.0,0,0,6.02,6.02,1,2,0,3,20
24,24.0,0,0,11.62,11.62,1,3,0,2,20
25,25.0,0,0,5.6,5.6,1,2,0,4,20
