idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,23.64,23.64,1,6,0,0,20
2,2.0,0,0,15.51,15.51,1,5,0,0,20
3,3.0,0,0,15.34,15.34,1,4,0,0,20
4,4.0,0,0,21.33,21.33,1,6,0,1,20
5,5.0,0,0,17.1,17.1,1,4,0,1,20
6,6.0,0,0,11.13,11.13,1,3,0,0,20
7,7.0,0,0,13.06,13.06,1,3,0,1,20
8,8.0,0,0,15.11,15.11,1,3,0,2,20
9,9.0,0,0,19.95,19.95,1,4,0,2,20
10,10.0,0,0,9.76,9.76,1,2,0,0,20
11,11.0,0,0,9.83,9.83,2,1,0,2,20
12,12.0,0,0,6.32,6.32,1,1,0,0,20
13,13.0,0,0,19.98,19.98,1,3,0,3,20
14,14.0,0,0,23.67,23.67,1,5,0,1,20
15,15.0,0,0,15.99,15.99,1,3,0,4,20
16,16.0,0,0,7.34,7.34,1,1,0,1,20
17,17.0,0,0,11.75,11.75,1,2,0,1,20
18,18.0,0,0,20.62,20.62,1,5,0,2,20
19,19.0,0,0,21.61,21.61,1,4,0,3,20
20,20.0,0,0,15.28,15.28,2,2,0,3,20
21,21.0,0,0,14.45,14.45,1,2,0,4,20
22,22.0,0,0,14.1,14.1,1,2,0,2,20
23,23.0,0,0,22.28,22.28,1,4,0,4,20
24,24.0,0,0,23.8,23.8,1,5,0,3,20
25,25.0,0,0,15.7,15.7,2,1,0,4,20
