idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,14.65,14.65,1,4,0,0,20
2,2.0,0,0,21.6,21.6,2,6,0,1,20
3,3.0,0,0,12.21,12.21,2,2,0,2,20
4,4.0,0,0,23.62,23.62,2,4,0,3,20
5,5.0,0,0,8.77,8.77,1,2,0,0,20
6,6.0,0,0,8.94,8.94,1,2,0,1,20
7,7.0,0,0,16.19,16.19,1,5,0,0,20
8,8.0,0,0,19.89,19.89,1,6,0,0,20
9,9.0,0,0,15.84,15.84,1,4,0,1,20
10,10.0,0,0,16.49,16.49,1,5,0,1,20
11,11.0,0,0,10.1,10.1,1,3,0,0,20
12,12.0,0,0,19.46,19.46,2,3,0,4,20
13,13.0,0,0,22.33,22.33,1,5,0,2,20
14,14.0,0,0,7.77,7.77,1,1,0,0,20
15,15.0,0,0,8.39,8.39,1,1,0,1,20
16,16.0,0,0,14.6,14.6,1,2,0,3,20
17,17.0,0,0,9.72,9.72,1,3,0,1,20
18,18.0,0,0,12.76,12.76,1,2,0,4,20
19,19.0,0,0,16.16,16.16,1,3,0,2,20
20,20.0,0,0,7.33,7.33,1,1,0,2,20
21,21.0,0,0,21.25,21.25,1,5,0,3,20
22,22.0,0,0,17.47,17.47,1,4,0,2,20
23,23.0,0,0,18.25,18.25,1,3,0,3,20
24,24.0,0,0,23.85,23.85,1,4,0,4,20
25,25.0,0,0,14.43,14.43,2,1,0,4,20
