idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,15.42,15.42,2,4,0,1,20
2,2.0,0,0,15.09,15.09,1,4,0,0,20
3,3.0,0,0,6.27,6.27,1,2,0,0,20
4,4.0,0,0,21.43,21.43,1,6,0,0,20
5,5.0,0,0,6.13,6.13,1,1,0,0,20
6,6.0,0,0,22.51,22.51,1,6,0,1,20
7,7.0,0,0,23.69,23.69,2,4,0,4,20
8,8.0,0,0,17.95,17.95,1,5,0,0,20
9,9.0,0,0,11.96,11.96,2,2,0,2,20
10,10.0,0,0,7.63,7.63,1,2,0,1,20
11,11.0,0,0,12.84,12.84,2,1,0,3,20
12,12.0,0,0,17.61,17.61,1,4,0,2,20
13,13.0,0,0,8.55,8.55,2,1,0,2,20
14,14.0,0,0,18.77,18.77,1,4,0,3,20
15,15.0,0,0,19.06,19.06,2,2,0,4,20
16,16.0,0,0,16.92,16.92,1,2,0,3,20
17,17.0,0,0,9.78,9.78,1,3,0,0,20
18,18.0,0,0,5.29,5.29,1,1,0,1,20
19,19.0,0,0,16.47,16.47,1,5,0,1,20
20,20.0,0,0,20.69,20.69,1,5,0,2,20
21,21.0,0,0,21.64,21.64,1,5,0,3,20
22,22.0,0,0,14.77,14.77,1,1,0,4,20
23,23.0,0,0,12.45,12.45,1,3,0,1,20
24,24.0,0,0,20.82,20.82,1,5,0,4,20
25,25.0,0,0,22.38,22.38,1,6,0,2,20
