idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,17.88,17.88,1,5,0,0,20
2,2.0,0,0,20.31,20.31,1,6,0,0,20
3,3.0,0,0,5.71,5.71,1,2,0,0,20
4,4.0,0,0,18.58,18.58,2,4,0,1,20
5,5.0,0,0,9.41,9.41,1,3,0,0,20
6,6.0,0,0,5.02,5.02,1,1,0,0,20
7,7.0,0,0,13.16,13.16,1,4,0,0,20
8,8.0,0,0,14.34,14.34,1,3,0,1,20
9,9.0,0,0,17.2,17.2,1,4,0,2,20
10,10.0,0,0,18.78,18.78,2,3,0,3,20
11,11.0,0,0,21.82,21.82,1,6,0,1,20
12,12.0,0,0,19.33,19.33,1,5,0,1,20
13,13.0,0,0,10.1,10.1,1,2,0,1,20
14,14.0,0,0,14.96,14.96,1,3,0,2,20
15,15.0,0,0,8.23,8.23,2,1,0,2,20
16,16.0,0,0,19.6,19.6,1,5,0,2,20
17,17.0,0,0,6.84,6.84,1,1,0,1,20
18,18.0,0,0,10.33,10.33,1,2,0,2,20
19,19.0,0,0,15.7,15.7,1,3,0,4,20
20,20.0,0,0,23.69,23.69,2,4,0,4,20
21,21.0,0,0,10.3,10.3,1,1,0,3,20
22,22.0,0,0,23.4,23.4,1,4,0,3,20
23,23.0,0,0,12.93,12.93,1,1,0,4,20
24,24.0,0,0,20.63,20.63,1,5,0,3,20
25,25.0,0,0,17.72,17.72,1,5,0,4,20
