idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,15.78,15.78,1,5,0,0,20
2,2.0,0,0,21.28,21.28,2,5,0,2,20
3,3.0,0,0,19.54,19.54,1,6,0,0,20
4,4.0,0,0,5.59,5.59,1,1,0,0,20
5,5.0,0,0,15.81,15.81,2,4,0,2,20
6,6.0,0,0,12.22,12.22,1,4,0,0,20
7,7.0,0,0,12.04,12.04,1,4,0,1,20
8,8.0,0,0,15.34,15.34,1,4,0,3,20
9,9.0,0,0,8.66,8.66,1,3,0,0,20
10,10.0,0,0,8.14,8.14,1,2,0,0,20
11,11.0,0,0,23.08,23.08,1,4,0,4,20
12,12.0,0,0,9.69,9.69,1,3,0,1,20
13,13.0,0,0,18.74,18.74,1,5,0,1,20
14,14.0,0,0,17.03,17.03,2,3,0,3,20
15,15.0,0,0,13.5,13.5,1,3,0,2,20
16,16.0,0,0,21.72,21.72,1,6,0,1,20
17,17.0,0,0,11.39,11.39,2,2,0,2,20
18,18.0,0,0,15.48,15.48,1,3,0,4,20
19,19.0,0,0,8.07,8.07,1,2,0,1,20
20,20.0,0,0,10.05,10.05,1,2,0,3,20
21,21.0,0,0,7.6,7.6,1,1,0,1,20
22,22.0,0,0,22.97,22.97,1,5,0,3,20
23,23.0,0,0,16.28,16.28,1,2,0,4,20
24,24.0,0,0,20.23,20.23,1,5,0,4,20
25,25.0,0,0,8.59,8.59,1,1,0,2,20
