idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,8.32,8.32,1,3,0,0,20
2,2.0,0,0,17.65,17.65,1,5,0,0,20
3,3.0,0,0,13.6,13.6,1,3,0,1,20
4,4.0,0,0,8.91,8.91,2,2,0,1,20
5,5.0,0,0,15.61,15.61,1,3,0,2,20
6,6.0,0,0,11.03,11.03,1,4,0,0,20
7,7.0,0,0,14.12,14.12,1,4,0,1,20
8,8.0,0,0,7.29,7.29,1,2,0,0,20
9,9.0,0,0,19.13,19.13,1,6,0,0,20
10,10.0,0,0,6.37,6.37,1,1,0,0,20
11,11.0,0,0,17.72,17.72,1,3,0,3,20
12,12.0,0,0,6.28,6.28,1,1,0,1,20
13,13.0,0,0,20.24,20.24,1,6,0,1,20
14,14.0,0,0,18.01,18.01,1,5,0,1,20
15,15.0,0,0,20.07,20.07,1,5,0,2,20
16,16.0,0,0,11.16,11.16,1,2,0,2,20
17,17.0,0,0,14.94,14.94,1,2,0,3,20
18,18.0,0,0,17.1,17.1,1,2,0,4,20
19,19.0,0,0,23.47,23.47,2,4,0,3,20
20,20.0,0,0,18.5,18.5,1,4,0,2,20
21,21.0,0,0,11.39,11.39,1,1,0,2,20
22,22.0,0,0,5.89,5.89,1,1,0,3,20
23,23.0,0,0,23.74,23.74,1,4,0,4,20
24,24.0,0,0,9.67,9.67,1,1,0,4,20
25,25.0,0,0,18.41,18.41,1,3,0,4,20
