idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,11.41,11.41,1,4,0,0,20
2,2.0,0,0,8.3,8.3,1,2,0,0,20
3,3.0,0,0,12.46,12.46,1,3,0,0,20
4,4.0,0,0,17.43,17.43,1,5,0,0,20
5,5.0,0,0,23.02,23.02,2,4,0,4,20
6,6.0,0,0,21.41,21.41,1,6,0,0,20
7,7.0,0,0,17.08,17.08,1,4,0,1,20
8,8.0,0,0,15.7,15.7,1,4,0,2,20
9,9.0,0,0,8.62,8.62,1,2,0,1,20
10,10.0,0,0,6.18,6.18,1,1,0,0,20
11,11.0,0,0,17.02,17.02,1,4,0,3,20
12,12.0,0,0,13.0,13.0,1,3,0,1,20
13,13.0,0,0,12.3,12.3,1,2,0,2,20
14,14.0,0,0,19.05,19.05,1,6,0,1,20
15,15.0,0,0,19.07,19.07,1,5,0,1,20
16,16.0,0,0,19.51,19.51,1,5,0,2,20
17,17.0,0,0,7.31,7.31,2,1,0,2,20
18,18.0,0,0,21.75,21.75,1,5,0,3,20
19,19.0,0,0,19.84,19.84,2,3,0,4,20
20,20.0,0,0,12.99,12.99,1,1,0,3,20
21,21.0,0,0,13.08,13.08,1,1,0,4,20
22,22.0,0,0,5.02,5.02,1,1,0,1,20
23,23.0,0,0,18.72,18.72,2,3,0,3,20
24,24.0,0,0,16.35,16.35,1,3,0,2,20
25,25.0,0,0,21.54,21.54,1,5,0,4,20
